date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2017-07-27,2482.76,2484.04,2459.93,2475.42,0,-2.41,-0.10%,2475.42,N/A,0
2017-07-26,2479.97,2481.69,2474.94,2477.83,0,0.70,0.03%,2477.83,N/A,0
2017-07-25,2477.88,2481.24,2474.91,2477.13,0,7.22,0.29%,2477.13,N/A,0
2017-07-24,2472.04,2473.10,2466.32,2469.91,0,-2.63,-0.11%,2469.91,N/A,0
2017-07-21,2467.40,2472.54,2465.06,2472.54,0,-0.91,-0.04%,2472.54,N/A,0
2017-07-20,2475.56,2477.62,2468.43,2473.45,0,-0.38,-0.02%,2473.45,N/A,0
2017-07-19,2463.85,2473.83,2463.85,2473.83,0,13.22,0.54%,2473.83,N/A,0
2017-07-18,2455.88,2460.92,2450.34,2460.61,0,1.47,0.06%,2460.61,N/A,0
2017-07-17,2459.50,2462.82,2457.16,2459.14,0,-0.13,-0.01%,2459.14,N/A,0
2017-07-14,2449.16,2463.54,2446.69,2459.27,0,11.44,0.47%,2459.27,N/A,0
2017-07-13,2444.99,2449.32,2441.69,2447.83,0,4.58,0.19%,2447.83,N/A,0
2017-07-12,2435.75,2445.76,2435.75,2443.25,0,17.72,0.73%,2443.25,N/A,0
2017-07-11,2427.35,2429.30,2412.79,2425.53,0,-1.90,-0.08%,2425.53,N/A,0
2017-07-10,2424.51,2432.00,2422.27,2427.43,0,2.25,0.09%,2427.43,N/A,0
2017-07-07,2413.52,2426.92,2413.52,2425.18,0,15.43,0.64%,2425.18,N/A,0
2017-07-06,2423.44,2424.28,2407.70,2409.75,0,-22.79,-0.94%,2409.75,N/A,0
2017-07-05,2430.78,2434.90,2422.05,2432.54,0,3.53,0.15%,2432.54,N/A,0
2017-07-03,2431.39,2439.17,2428.69,2429.01,0,5.60,0.23%,2429.01,N/A,0
2017-06-30,2429.20,2432.71,2421.65,2423.41,0,3.71,0.15%,2423.41,N/A,0
2017-06-29,2442.38,2442.73,2405.70,2419.70,0,-20.99,-0.86%,2419.70,N/A,0
2017-06-28,2428.70,2442.97,2428.02,2440.69,0,21.31,0.88%,2440.69,N/A,0
2017-06-27,2436.34,2440.15,2419.38,2419.38,0,-19.69,-0.81%,2419.38,N/A,0
2017-06-26,2443.32,2450.42,2437.03,2439.07,0,0.77,0.03%,2439.07,N/A,0
2017-06-23,2434.65,2441.40,2431.11,2438.30,0,3.80,0.16%,2438.30,N/A,0
2017-06-22,2437.40,2441.62,2433.27,2434.50,0,-1.11,-0.05%,2434.50,N/A,0
2017-06-21,2439.31,2442.23,2430.74,2435.61,0,-1.42,-0.06%,2435.61,N/A,0
